datatype,objectid,displayorder,forwardtext,invertedtext,remarks,effectivedate
previous_attribution,1850,1,Rembrandt van Rijn,Rembrandt van Rijn,,
previous_attribution,1851,1,Rembrandt van Rijn,Rembrandt van Rijn,,
previous_attribution,1852,1,Rembrandt van Rijn,Rembrandt van Rijn,,
previous_attribution,1854,1,Rembrandt van Rijn,Rembrandt van Rijn,,
previous_attribution,1856,1,Rembrandt van Rijn,Rembrandt van Rijn,,
previous_attribution,1883,1,François Boucher,"Boucher, François",,
previous_title,2538,2,"Pierre-Isaac Poissonnier
",,,
previous_title,2628,2,Suite d'estampes pour servir à l'histoire des moeurs et du costume des Français dans le dix-huitième siècle : années 1774 (volume I),,,
previous_attribution,2990,1,"Alexandre Chaponniere after Jean-Baptiste Hüet, I","Chaponniere, Alexandre after Jean-Baptiste Hüet, I",,
previous_attribution,3154,1,"Greek, 4th Century B.C.","Greek, 4th Century B.C.",Attribution at time of gift,
previous_attribution,3154,2,Attributed to Hellenistic School,"Hellenistic School, Attributed to",Bd. Tr. approval 10/4/1990,          
previous_attribution,3155,1,Middle Rhenish,Middle Rhenish,Attribution at time of gift,
previous_attribution,3156,1,Upper Rhenish 15th Century,Upper Rhenish 15th Century,Attribution at time of gift,
previous_title,3192,2,La Salute: Dawn,,,
previous_attribution,3200,1,Flemish School 15th Century,Flemish School 15th Century,Attribution at time of gift,
previous_attribution,3201,1,Flemish School,Flemish School,Attribution at time of gift,
previous_attribution,3202,1,"Ludger tom Ring, the Elder",N/A,Attribution at time of gift,
previous_attribution,3204,1,Ralph Albert Blakelock,"Blakelock, Ralph Albert",Attribution at time of acquisition,
previous_attribution,3206,1,Attributed to Samuel King,"King, Samuel, Attributed to",Attribution at time of gift,
previous_attribution,3206,2,Artist Unknown,Artist Unknown,Bd. Tr. approval 4/30/69,1969-04-30
previous_attribution,3207,1,Attributed to Samuel King,"King, Samuel, Attributed to",Attribution at time of gift,
previous_attribution,3207,2,Artist Unknown,Artist Unknown,Bd. Tr. approval 4/30/69,1969-04-30
previous_attribution,3208,1,Samuel Finley Breese Morse,"Morse, Samuel Finley Breese",Attribution at time of gift,
previous_attribution,3208,2,Artist Unknown,Artist Unknown,Bd. Tr. approval 4/30/69,1969-04-30
previous_attribution,3209,1,Samuel Finley Breese Morse,"Morse, Samuel Finley Breese",Attribution at time of acquisition,
previous_attribution,3210,2,Artist Unknown,Artist Unknown,Bd. Tr. approval 4/30/69,1969-04-30
previous_attribution,3210,1,Attributed to John Neagle,"Neagle, John, Attributed to",Attribution at time of gift,
previous_attribution,3223,1,Honoré Daumier,"Daumier, Honoré",Attribution at time of gift,
previous_attribution,3418,1,Clifford Isaac Addams,"Addams, Clifford Isaac",,
previous_title,3420,2,Demolition,,,
previous_title,3426,3,Venice - Bridge with Procession,,,
previous_attribution,3434,1,Heinrich Aldegrever,"Aldegrever, Heinrich",,
previous_attribution,3445,1,Heinrich Aldegrever,"Aldegrever, Heinrich",,
previous_attribution,3446,1,Heinrich Aldegrever,"Aldegrever, Heinrich",,
previous_attribution,3651,1,after Andrea Mantegna,"Mantegna, Andrea, after",,
previous_attribution,3753,1,German 15th century,"","",          
previous_attribution,4092,1,after Barthel Beham,"Beham, Barthel, after",,
previous_attribution,4097,1,Barthel Beham,"Beham, Barthel",,
previous_title,4486,2,Anais II,,,
previous_title,4601,2,Flock of Ducks Landing,,,
previous_attribution,5145,1,Sir Muirhead Bone,"Bone, Muirhead, Sir",,
previous_attribution,5275,1,Attributed to Philip Galle after Pieter Bruegel the Elder,"Galle, Philip, Attributed to after Pieter Bruegel the Elder",attribution confirmed in Galle New Hollstein (2001),""
previous_attribution,5276,1,Attributed to Philip Galle after Pieter Bruegel the Elder,"Galle, Philip, Attributed to after Pieter Bruegel the Elder",attribution confirmed in Galle New Hollstein (2001),""
previous_attribution,5277,1,Attributed to Philip Galle after Pieter Bruegel the Elder,"Galle, Philip, Attributed to after Pieter Bruegel the Elder",attribution confirmed in Galle New Hollstein (2001),""
previous_attribution,5278,1,Attributed to Philip Galle after Pieter Bruegel the Elder,"Galle, Philip, Attributed to after Pieter Bruegel the Elder",attribution confirmed in Galle New Hollstein (2001),""
previous_attribution,5279,1,Attributed to Philip Galle after Pieter Bruegel the Elder,"Galle, Philip, Attributed to after Pieter Bruegel the Elder",attribution confirmed in Galle New Hollstein (2001),""
previous_attribution,5280,1,Attributed to Philip Galle after Pieter Bruegel the Elder,"Galle, Philip, Attributed to after Pieter Bruegel the Elder",attribution confirmed in Galle New Hollstein (2001),""
previous_attribution,5281,1,Attributed to Philip Galle after Pieter Bruegel the Elder,"Galle, Philip, Attributed to after Pieter Bruegel the Elder",attribution confirmed in Galle New Hollstein (2001),""
previous_title,5949,2,Senlis,,,
previous_attribution,5979,1,Hans Collaert,"Collaert, Hans",,
previous_attribution,6468,1,Theodor de Bry,"Bry, Theodor de",attribution changed 28 November 1994,
previous_attribution,6469,1,Theodor de Bry,"Bry, Theodor de",,
previous_attribution,6470,1,Theodor de Bry,"Bry, Theodor de",,
previous_attribution,6471,1,Theodor de Bry,"Bry, Theodor de",,
previous_attribution,6472,1,Jan Theodor de Bry after Barthel Beham,"Bry, Jan Theodor de after Barthel Beham",,
previous_attribution,6473,1,Jan Theodor de Bry after Barthel Beham,"Bry, Jan Theodor de after Barthel Beham",,
previous_attribution,6475,1,Jan Theodor de Bry after Barthel Beham,"Bry, Jan Theodor de after Barthel Beham",,
previous_attribution,6476,1,Jan Theodor de Bry after Barthel Beham,"Bry, Jan Theodor de after Barthel Beham",,
previous_attribution,6815,1,Attributed to Wolf Traut,"Traut, Wolf, Attributed to","attribution updated according to ""Hollstein's German Engravings, Etchings and Woodcuts, 1400-1700."" Vol. XCIV (Wolf Traut, Dieter Beaujean, author). Ouderkerk aan den Ijssel: Sound & Vision Publishers, 2019, no. 25.",""
previous_title,6817,2,"Hanns Dürer, Brother of Albrecht Dürer",,,
previous_attribution,6948,1,Jean-Louis Forain,"Forain, Jean-Louis",,
previous_attribution,7413,1,Valentine Green after Charles Willson Peale,"Green, Valentine after Charles Willson Peale",,
previous_attribution,7471,1,Francisco de Goya,"Goya, Francisco de",,
previous_attribution,7739,1,Erich Heckel,"Heckel, Erich",,
previous_attribution,7740,1,Erich Heckel,"Heckel, Erich",,
previous_title,7740,2,Dance,,,
previous_title,7748,3,Portrait of a Little Girl,,,
previous_title,7749,2,Merci,,,
previous_attribution,8001,1,Daniel Hopfer I,"Hopfer I, Daniel",,
previous_attribution,8003,1,"Daniel Hopfer, Hieronymus Hopfer","Hopfer, Daniel, Hieronymus Hopfer",,
previous_attribution,8003,2,Hieronymus Hopfer,"Hopfer, Hieronymus",,
previous_title,8114,2,Lady with Shawl,,,
previous_attribution,8698,1,Workshop of Andrea Mantegna or Attributed to Zoan Andrea,"Mantegna, Andrea, Workshop of or Attributed to Zoan Andrea",,
previous_attribution,8699,1,Andrea Mantegna,"Mantegna, Andrea",,
previous_attribution,8700,1,Attributed to Giovanni Antonio da Brescia,"Mantegna, Andrea, Workshop of or Attributed to Giovanni Antonio da Brescia",,
previous_attribution,8700,2,Workshop of Andrea Mantegna or Attributed to Giovanni Antonio da Brescia,"Mantegna, Andrea, Workshop of or Attributed to Giovanni Antonio da Brescia",,
previous_attribution,8701,1,Workshop of Andrea Mantegna or Attributed to Zoan Andrea,"Mantegna, Andrea, Workshop of or Attributed to Zoan Andrea",,
previous_attribution,8765,1,Master NAR,Master NAR,"Updated attribution to reflect research by Yvette Bruijnen. _Jan Rombouts: The Rediscovery of an Early Sixteenth Century Master in Louvain_. Turnhout, 2011.",""
previous_attribution,9157,1,Otto Mueller,"Müller, Otto",,
previous_attribution,9157,2,Otto Müller,"Müller, Otto",,
previous_title,9500,2,Bucks County Farm House,,,
previous_title,9501,2,House in the Pine Trees,,,
previous_title,9567,2,Cabaret of Ramponneau,,,
previous_attribution,9807,1,"Cornelis Ploos van Amstel (editor), and Johannes Kornlein (printmaker), after Gerrit Dou","Ploos van Amstel, Cornelis (editor), and Johannes Kornlein (printmaker), after Gerrit Dou",,
previous_title,10319,2,A Cotswold Farm,,,
previous_title,10327,2,Place des Victories,,,
previous_title,10328,2,"Les Baux, Provence",,,
previous_title,10329,2,L'Isle de la Cite,,,
previous_attribution,10438,1,Sir Frank Short after Peter De Wint,"Short, Frank, Sir after Peter De Wint",,
previous_title,10438,2,Cottage with Harvesters,,,
previous_title,10454,3,Moonlight on a River (Lucerne?),,,
previous_attribution,10454,1,Sir Frank Short after Joseph Mallord William Turner,"Short, Frank, Sir after Joseph Mallord William Turner",,
previous_attribution,10467,1,Virgil Solis,"Solis, Virgil",purchased by Lessing Rosenwald with misattribution (by Charles Sessler?) to Virgil Solis.,""
previous_attribution,10591,1,Tsuneo Tamagami,"Tamagami, Tsuneo",wrong attribution due to clerical error,""
previous_title,10610,2,McBey - Profile,,,
previous_title,10611,2,McBey - Full Face,,,
previous_attribution,10760,2,Sir Anthony van Dyck,"Dyck, Sir Anthony van","
",          
previous_attribution,10760,1,Anonymous Florentine 17th Century,Anonymous Florentine 17th Century,Bd. Tr. approval 11/14/49,1949-11-14
previous_attribution,10819,1,Isack van Ostade,"Ostade, Isack van",,
previous_title,10844,2,The Bull Ring,,,
previous_title,10847,2,"Arc San Carlo, Naples",,,
previous_attribution,10860,1,Hans Wechtlin I,"Wechtlin I, Hans",,
previous_title,10912,2,The Title to the French Set,,,
previous_title,10913,2,Reading in Bed,,,
previous_title,10933,2,"Astruc, A Literary Man",,,
previous_title,11048,3,La Salute: Dawn,,,
previous_title,11156,2,Drouet,,,
previous_title,11157,2,Drouet,,,
previous_title,11198,2,"Gabled Roofs, Vitre",,,
previous_title,11232,2,A Portrait - Miss Howells,,,
previous_title,11240,2,The Sunny Smith,,,
previous_title,11261,2,"Study - Mr. Thomas Way, No.I",,,
previous_title,11262,2,"Study - Mr. Thomas Way, No.II",,,
previous_title,11278,2,Sketch of Mr. Henley,,,
previous_attribution,11283,1,James McNeill Whistler,"Whistler, James McNeill",,
previous_attribution,11285,1,James McNeill Whistler,"Whistler, James McNeill",,
previous_title,11285,2,"Count Robert de Montesquiou, No.III",,,
previous_title,11289,2,Sketch - Grand Rue Dieppe,,,
previous_title,11290,2,Sketch - Grand Rue Dieppe,,,
previous_title,11299,2,Nude Figure Seated,,,
previous_attribution,11308,1,James McNeill Whistler,"Whistler, James McNeill",,
previous_attribution,11309,1,James McNeill Whistler,"Whistler, James McNeill",,
previous_attribution,11310,1,James McNeill Whistler,"Whistler, James McNeill",,
previous_attribution,11319,1,James McNeill Whistler,"Whistler, James McNeill",,
previous_attribution,11353,1,Luca Giordano,"Giordano, Luca",,
previous_attribution,11354,1,Daniele Ricciarelli,"Ricciarelli, Daniele",,
previous_attribution,11355,1,Pontormo,Pontormo,,
previous_attribution,11358,1,Polidoro da Caravaggio,Polidoro da Caravaggio,,
previous_attribution,11359,1,Francesco Primaticcio,"Primaticcio, Francesco",,
previous_attribution,11360,1,Luca Cambiaso,"Cambiaso, Luca",,
previous_attribution,11361,1,Federico Zuccari,"Zuccari, Federico",,
previous_attribution,11363,1,Marten de Vos,"Vos, Marten de",,
previous_attribution,11364,1,Simon Vouet,"Vouet, Simon",,
previous_attribution,11365,1,Pietro da Cortona,"Cortona, Pietro da",,
previous_attribution,11367,1,Lodovico Carracci,"Carracci, Lodovico",approved 2/27/61,
previous_attribution,11367,1,French 17th Century,French 17th Century,,
previous_attribution,11369,1,Baldassare Peruzzi,"Peruzzi, Baldassare",,
previous_attribution,11371,1,Lucio Massari,"Massari, Lucio",,
previous_attribution,11373,1,Giovanni Antonio Pordenone,"Pordenone, Giovanni Antonio",,
previous_attribution,11374,1,Frans Floris I,"Floris I, Frans",,
previous_attribution,11375,1,Maerten van Heemskerck,"Heemskerck, Maerten van",,
previous_attribution,11376,1,Girolamo Muziano,"Muziano, Girolamo",,
previous_attribution,11378,1,Prospero Fontana,"Fontana, Prospero",,
previous_attribution,11379,1,Flemish 17th Century,Flemish 17th Century,,
previous_attribution,11380,1,Francesco Solimena,"Solimena, Francesco",,
previous_attribution,11381,1,Francesco Solimena,"Solimena, Francesco",,
previous_attribution,11382,1,Italian 16th Century,Italian 16th Century,,
previous_attribution,11383,1,Carlo Saraceni,"Saraceni, Carlo",,
previous_attribution,11386,1,Bernardo Castello,"Castello, Bernardo",,
previous_attribution,11387,1,Abraham van Diepenbeeck,"Diepenbeeck, Abraham van",,
previous_attribution,11388,1,Attributed to Pirro Ligorio,"Ligorio, Pirro, Attributed to",,
previous_attribution,11389,1,Gasparo Massi,"Massi, Gasparo",,
previous_attribution,11390,1,Gasparo Massi,"Massi, Gasparo",,
previous_attribution,11391,1,il Cigoli,"Cigoli, il",,
previous_attribution,11392,1,Domenico Ghirlandaio,"Ghirlandaio, Domenico",,
previous_attribution,11394,1,Flemish 16th Century,Flemish 16th Century,,
previous_attribution,11396,1,Annibale Carracci,"Carracci, Annibale",,
previous_attribution,11397,1,Flemish 16th Century,Flemish 16th Century,,
previous_attribution,11398,1,Parmigianino,Parmigianino,,
previous_attribution,11399,1,Luca Cambiaso,"Cambiaso, Luca",,
previous_attribution,11403,1,Andrea Boscoli,"Boscoli, Andrea",,
previous_title,11434,2,House in the Trees,,,
previous_title,11925,2,Cornelia van de Capelle,,,
previous_attribution,12099,2,Style of Andrea del Verrocchio,"Verrocchio, Andrea del, Style of","Bd. Tr. approval 1/9/1964
",
previous_attribution,12099,1,Andrea del Verrocchio,"Verrocchio, Andrea del",Attribution at time of gift,
previous_attribution,12102,1,Sassetta,Sassetta,Attribution at time of gift,
previous_attribution,12102,2,Attributed to Sassetta,"Sassetta, Attributed to","Bd. Tr. approval 1/9/1964
",
previous_attribution,12103,2,Attributed to Sassetta,"Sassetta, Attributed to","Bd. Tr. approval 1/9/1964
 
",
previous_attribution,12103,1,Sassetta,Sassetta,Attribution at time of gift,
previous_attribution,12118,1,"""Ugolino Lorenzetti""","Lorenzetti, Ugolino",Bd. Tr. approval 1/9/64,1964-01-09
previous_attribution,12118,2,Pietro Lorenzetti,"Lorenzetti, Pietro",Attribution at time of gift,1943
previous_attribution,12135,1,Giovanni Bellini,"Bellini, Giovanni","Attribution at time of acquisition
",
previous_attribution,12139,1,Ercole de' Roberti,"Roberti, Ercole de'",Attribution at time of gift,
previous_attribution,12139,2,Attributed to Baldassare d'Este,"Baldassare d'Este, Attributed to","Bd. Tr. approval 1/9/1964
",
previous_attribution,12143,1,Master of the Life of Saint John the Baptist,Master of the Life of Saint John the Baptist,"This change appears not to have been passed by the Bd. Tr.; memos in the object file indicate John Walker directed the change be made in December 1956, and the change was finalized by June 1957.",1957-06-01
previous_attribution,12143,2,Giovanni Baronzio,"Baronzio, Giovanni",Attribution at time of gift,1943
previous_attribution,12145,1,Botticelli,Botticelli,Attribution at time of gift,
previous_attribution,12170,1,Pietro Lombardo,"Lombardo, Pietro",Attribution at time of acquisition,
previous_attribution,12172,1,Antonio del Pollaiuolo,"Pollaiuolo, Antonio del",Attribution at time of gift,
previous_attribution,12173,2,Florentine 16th Century,Florentine 16th Century,Bd. Tr. approval 5/5/1976,1976-05-05
previous_attribution,12173,1,Benedetto da Maiano,Benedetto da Maiano,Attribution at time of gift,
previous_attribution,12175,1,Giovanni Antonio Amadeo,"Amadeo, Giovanni Antonio",Attribution at time of gift,
previous_attribution,12176,1,Antonio Rossellino,"Rossellino, Antonio",Attribution at time of gift,
previous_attribution,12178,1,Mino da Fiesole,Mino da Fiesole,Attribution at time of gift,
previous_attribution,12179,1,Andrea del Verrocchio,"Verrocchio, Andrea del",Attribution at time of gift,
previous_attribution,12180,1,Matteo Civitali,"Civitali, Matteo",Attribution at time of gift,
previous_attribution,12181,1,Donatello,Donatello,Attribution at time of gift,
previous_attribution,12182,1,Leone Leoni,"Leoni, Leone",Attribution at time of gift,
previous_attribution,12183,3,Attributed to Jacopo Albarelli,"Albarelli, Jacopo, Attributed to",Reported to Bd. Tr. 10/1/1987,
previous_attribution,12183,1,Alessandro Vittoria,"Vittoria, Alessandro",Attribution at time of gift,
previous_attribution,12183,2,Venetian 16th or 17th Century (Jacopo Albarelli ?),Venetian 16th or 17th Century (Jacopo Albarelli ?),Bd. Tr. approval 10/4/1984,
previous_attribution,12184,1,Germain Pilon,"Pilon, Germain",Attribution at time of gift,
previous_attribution,12185,2,after Gian Lorenzo Bernini,"Bernini, Gian Lorenzo, after",Bd. Tr. approval 1/19/1971,1971-01-19
previous_attribution,12185,1,Gian Lorenzo Bernini,"Bernini, Gian Lorenzo",Attribution at time of gift,
previous_attribution,12186,2,Jacques Prou II,"Prou II, Jacques",Letter to Kress Foundation 11/30/1955 requesting approval for attribution and title change was approved by Mario Modestini; there appears to have been no Bd. Tr. action on the attribution change.  Published with this attribution in the 1959 NGA/Kress catalogue.,1955-11-30
previous_attribution,12186,1,Antoine Coysevox,"Coysevox, Antoine",Attribution at time of gift,
previous_attribution,12189,1,"Florentine 15th or 16th Century, probably after a model by Andrea del Verrocchio and Orsino Benintendi","Florentine 15th or 16th Century, probably after a model by Andrea del Verrocchio and Orsino Benintendi",Bd. Tr. approval 5/1/1997,1997-05-01
previous_attribution,12189,2,Andrea del Verrocchio,"Verrocchio, Andrea del",Attribution at time of acquisition,
previous_attribution,12190,1,Lorenzo Ghiberti,"Ghiberti, Lorenzo",Attribution at time of gift,
previous_attribution,12201,1,Jean Siméon Chardin,"Chardin, Jean Siméon",Attribution at time of gift,
previous_attribution,12203,1,Hubert Drouais,"Drouais, Hubert","Attribution at time of acquisition
",
previous_attribution,12205,1,Jan van Hemessen,"Hemessen, Jan van",Attribution at time of gift,
previous_attribution,12207,1,Sir Peter Paul Rubens,"Rubens, Peter Paul, Sir","Attribution at time of acquisition
",
previous_attribution,12208,1,Jacopo Tintoretto,"Tintoretto, Jacopo",Attribution at time of acquisition,1943
previous_attribution,12210,1,American 20th Century,American 20th Century,,
previous_attribution,12241,1,E.J. Bird,"Bird, E.J.",,
previous_attribution,12252,1, ,,,
previous_attribution,12365,1,Vera Van Voris,,,
previous_attribution,12444,1,James Vail,"Vail, James",,
previous_attribution,12566,1,James Vail,"Vail, James",,
previous_attribution,12650,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,12981,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,13101,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,15081,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,15113,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,15119,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,15122,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,15124,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,15349,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,15505,1,Marion Curtiss,"Curtiss, Marion",,
previous_title,15522,2,Mourning Picture,,,
previous_attribution,16404,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_attribution,17754,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_title,17933,2,Serving and Work Table,,,
previous_attribution,17973,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_attribution,18130,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_attribution,18396,1,Randolph Atkinson,"Atkinson, Randolph",,
previous_attribution,19989,1,"Edward DiGennero, Michael Lauretano","DiGennero, Edward, Michael Lauretano",,
previous_title,20303,2,Figurehead,,,
previous_attribution,20487,1,Marion Curtiss,"Curtiss, Marion",,
previous_title,20834,2,Bell Jar,,,
previous_attribution,20972,1,Angelo Bulone,"Bulone, Angelo",,
previous_attribution,20972,2,American 20th Century,American 20th Century,,
previous_attribution,21067,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_attribution,21619,1,Robert Clark,"Clark, Robert",,
previous_attribution,21622,1,"Stanley Mazur, Olof Krans","Mazur, Stanley, Olof Krans",,
previous_attribution,21624,1,"Orrie McCombs, Olof Krans","McCombs, Orrie, Olof Krans",,
previous_attribution,21625,1,"John Koehl, Olof Krans","Koehl, John, Olof Krans",,
previous_attribution,21625,2,John Koehl,"Koehl, John",,
previous_title,21675,2,"Knife, Fork, and Spoon",,,
previous_attribution,24432,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_attribution,24460,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_title,25328,2,Apothecary's Pill Holder,,,
previous_attribution,26433,1,Mario De Ferrante,"De Ferrante, Mario",,
previous_attribution,27563,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,27635,1,American 20th Century,American 20th Century,,
previous_attribution,28074,1,"Edward DiGennero, Michael Lauretano","DiGennero, Edward, Michael Lauretano",,
previous_attribution,28074,2,Edward DiGennero,"DiGennero, Edward",,
previous_attribution,28895,1,American 20th Century,American 20th Century,,
previous_attribution,29512,1,Marion Curtiss,"Curtiss, Marion",,
previous_attribution,30074,1,American 20th Century,American 20th Century,,
previous_attribution,30212,1,Honoré Daumier,"Daumier, Honoré",Attribution at time of gift,
previous_attribution,30212,2,Follower of Honoré Daumier,"Daumier, Honoré, Follower of",Bd. Tr. approval 1/25/1973,
previous_attribution,30218,1,James McNeill Whistler,"Whistler, James McNeill",Attribution at time of gift,
previous_attribution,30599,1,Robert Havell after John James Audubon,"Havell, Robert after John James Audubon",,
previous_attribution,30654,1,Nicolas Lancret,"Lancret, Nicolas",,
previous_title,30657,2,The Honorable Seth Hastings,,,
previous_title,30679,3,Apocalypse,,,
previous_attribution,32586,2,Follower of Canaletto,"Canaletto, Follower of","Bd. Tr. approval 1/21/1948
",
previous_attribution,32586,3,Venetian 18th Century,Venetian 18th Century,"Bd. Tr. approval 1/27/1994
",
previous_attribution,32586,1,Canaletto,Canaletto,Attribution at time of gift,
previous_attribution,32587,3,Venetian 18th Century,Venetian 18th Century,"Bd. Tr. approval 1/27/1994
",
previous_attribution,32587,1,Canaletto,Canaletto,Attribution at time of gift,
previous_attribution,32587,2,Follower of Canaletto,"Canaletto, Follower of","Bd. Tr. approval 1/21/1948
",
previous_attribution,32632,1,Sallenbach,Sallenbach,,
previous_attribution,32688,1,Jean Siméon Chardin,"Chardin, Jean Siméon",Attribution at time of gift,
previous_attribution,32690,1,Claude Lorrain,Claude Lorrain,"Attribution at time of acquisition
",
previous_attribution,32695,1,Antoine Watteau,"Watteau, Antoine",Attribution at time of gift,
previous_title,32733,2,William Henry Harrison: 9th President of the United States,,,
previous_title,32734,2,William Penn's Treaty with the Indians,,,
previous_title,32997,3,Album of Prints after Chardin,,,
previous_attribution,33246,2,School of Alessandro Longhi,"Longhi, Alessandro, School of",Bd. Tr. approval 5/4/48,
previous_attribution,33246,1,English School,English School,Attribution at time of gift,
previous_attribution,33261,1,Netherlandish 15th Century,Netherlandish 15th Century,,
previous_attribution,33265,1,Netherlandish 15th Century,Netherlandish 15th Century,Attribution at time of acquisition,""
previous_attribution,33266,1,Workshop of Limbourg Brothers,"Limbourg Brothers, Workshop of",,
previous_attribution,33268,1,Italian 13th Century,Italian 13th Century,,
previous_attribution,33269,1,Italian 14th Century,Italian 14th Century,,
previous_title,33563,2,Nassau Hall from Chancellor Green,,,
previous_title,33708,2,Figure Study,,,
previous_attribution,33747,1,Abraham Storck,"Storck, Abraham",Attribution at time of gift,
previous_attribution,33747,3,Style of Hendrick van Anthonissen,"Anthonissen, Hendrick van, Style of",Change memo 11/14/1983,          
previous_attribution,33747,2,Circle of Hendrick van Anthonissen,"Anthonissen, Hendrick van, Circle of",Bd. Tr. approval 1/19/1965,          
previous_attribution,33757,1,Jacopo Tintoretto,"Tintoretto, Jacopo",Attribution at time of acquisition,1947
previous_title,33766,2,"Prayer Meeting, No.2",,,
previous_title,33768,3,"Phaeton, or Chariot I",,,
previous_title,33818,4,The Pony,,"As per June Hargrove on 6/8/2021, work should not be titled ""The Pony""",
previous_attribution,33961,1,Rembrandt Peale,"Peale, Rembrandt",Attribution at time of gift,
previous_attribution,33962,1,Rembrandt Peale,"Peale, Rembrandt",Attribution at time of gift,
previous_attribution,33964,1,Thomas Gainsborough,"Gainsborough, Thomas",,
previous_attribution,34049,2,American School (?),American School (?),Bd. Tr. approval 5/6/1964,""
previous_attribution,34049,1,John James Audubon (?),"Audubon, John James, (?)","Attribution at time of gift.  1980 American painting summary catalogue publishes the original attribution without the ""?"", but the accession card and other documents in the object indicate that the attribution was questioned at the time of the gift.",
previous_attribution,34053,1,Charles Loring Elliott,"Elliott, Charles Loring",Attribution at time of gift,
previous_attribution,34057,1,William Sidney Mount,"Mount, William Sidney",Attribution at time of acquisition,
previous_attribution,34058,2,Rembrandt Peale (?),"Peale, Rembrandt (?)",Bd. Tr. approval 4/30/69,1969-04-30
previous_attribution,34058,1,Charles Willson Peale,"Peale, Charles Willson",Attribution at time of gift,
previous_attribution,34063,4,Anonymous Unknown Nationality 18th Century,Anonymous Unknown Nationality 18th Century,Change memo 11/14/83,1983-11-14
previous_attribution,34063,2,English School (?),English School (?),"Bd. Tr. approval 4/30/69; list reads ""Artist Unknown"", but original change proposal was annotated by W.P. Campbell to read ""English School (?), mid-eighteenth century"".",1969-04-30
previous_attribution,34063,1,John Hesselius,"Hesselius, John",Attribution at time of gift,
previous_attribution,34063,5,Attributed to British 18th Century,"British 18th Century, Attributed to",Bd. Tr. approval 10/5/89,1989-10-05
previous_attribution,34063,3,American School (?),American School (?),This attribution assigned at an unknown date.,
previous_attribution,34067,2,American School (?),American School (?),Bd. Tr. approval 5/6/1964,""
previous_attribution,34067,1,Washington Allston,"Allston, Washington",Attribution at time of gift,
previous_attribution,34067,3,European 19th Century,European 19th Century,"Changed to this attribution on unknown date, per accession card and notation on 1964 change proposal.",
previous_attribution,34069,1,Joseph Alexander Ames,"Ames, Joseph Alexander",Attribution at time of gift,
previous_attribution,34070,2,American School (?),American School (?),"Bd. Tr. approval 4/30/69; list reads ""Artist Unknown"", but original change proposal was annotated by W.P. Campbell to read ""American School (?), second quarter 18th century"".",1969-04-30
previous_attribution,34070,3,Anonymous Unknown Nationality 18th Century,Unknown 18th Century,Change memo 11/14/83,1983-11-14
previous_attribution,34070,1,Joseph Badger,"Badger, Joseph",Attribution at time of gift,
previous_attribution,34070,4,Attributed to British 18th Century,"British 18th Century, Attributed to",Bd. Tr. approval 10/5/89,1989-10-05
previous_attribution,34072,1,Henry Benbridge,"Benbridge, Henry",Attribution at time of gift,
previous_attribution,34074,4,Anonymous Unknown Nationality 18th Century,Anonymous Unknown Nationality 18th Century,Change memo 11/14/1983,1983-11-14
previous_attribution,34074,1,Charles Bridges,"Bridges, Charles",Attribution at time of gift,
previous_attribution,34074,2,School of Sir Godfrey Kneller,"Kneller, Sir Godfrey, School of",Bd. Tr. approval 5/6/1964,1964-05-06
previous_attribution,34074,3,Unknown European 18th Century,Unknown European 18th Century,5/6/1964 change of attribution became Unknown European 18th Century,1964-05-06
previous_attribution,34075,1,Charles Bridges,"Bridges, Charles",Attribution at time of gift,
previous_attribution,34075,4,Unknown Nationality 18th Century,Unknown Nationality 18th Century,Change memo10/5/89,1989-10-05
previous_attribution,34075,2,School of Sir Godfrey Kneller,"Kneller, Sir Godfrey, School of","Bd. Tr. approval 4/30/69; list reads ""Artist Unknown"", but original change proposal was annotated by W.P. Campbell to read ""School of Kneller, British (1646-1723)"".",1969-04-30
previous_attribution,34075,3,American School (?),American School (?),This attribution assigned at an unknown date.,
previous_attribution,34077,2,Attributed to Mather Brown,"Brown, Mather, Attributed to",Bd. Tr. approval 4/30/69,
previous_attribution,34077,1,Mather Brown,"Brown, Mather",Attribution at time of gift,
previous_attribution,34079,2,American School (?),American School (?),"Bd. Tr. approval 4/30/69; list reads ""Artist Unknown"", but original change proposal was annotated by W.P. Campbell twice, first to read ""English School, mid 18th century"", then to read ""American (?)"".",
